LoanAmount,AnnualIncome,MonthlyNetSalary,InterestRate,NumberOfLoan,NumberOfDelayedPayment,OutstandingDebt,DebtToIncomeRatio,MonthsOfCreditHistory,PaymentOfMinimumAmount,MonthlyInstallmentAmount,AmountInvestedMonthly,MonthlyBalance,CreditScore
991.19,27311.97,2349,20,4,23,606.78,26.66,365,1,88.74,140.49,295.67,721
894.74,27311.97,2349,20,4,17,606.78,26.66,366,1,88.74,216.94,199.22,700
1016.47,27311.97,2349,20,4,22,606.78,26.66,368,1,88.74,105.21,320.95,686
1060.75,27311.97,2349,20,4,20,606.78,26.66,369,0,88.74,30.93,365.23,677
4037.21,19997.48,1562.46,27,7,25,3723.83,223.46,30,1,94.16,132.87,219.22,401
4089.76,19997.48,1562.46,27,7,23,3723.83,223.46,35,1,94.16,30.32,271.77,418
692.62,65234.24,5433.19,1,0,8,39.46,0.73,361,0,0,140.16,653.16,308
3760.12,68173.92,5948.16,32,5,14,3117.01,54.87,74,1,144.37,201.7,498.74,691
4533.28,75672.08,6254.01,28,6,20,3881.25,61.55,82,1,311.88,223.37,340.15,806
4206.68,75672.08,6254.01,28,6,17,3881.25,61.55,83,1,311.88,579.97,13.55,850
740.02,62956.56,5147.38,16,5,9,77.34,1.47,64,1,135.38,92.05,527.3,791
740.43,62956.56,5147.38,16,5,9,77.34,1.47,66,1,135.38,91.65,527.71,641
2422.8,123511.28,10430.61,15,4,11,1350.6,13.12,262,0,254.6,210.85,817.6,633
2532.63,123511.28,10430.61,15,4,14,1350.6,13.12,263,0,254.6,101.02,927.43,807
1697.74,123511.28,10430.61,15,4,14,1350.6,13.12,264,0,254.6,975.92,92.54,827
2319.63,123511.28,10430.61,15,4,11,1350.6,13.12,265,0,254.6,324.03,714.43,839
1005.97,16646.26,1611.19,15,2,12,624.36,45.01,228,0,14.58,39.51,367.03,732
1823.7,36496.38,2934.37,30,3,18,1328.69,43.69,70,0,45.81,58.42,449.2,444
1783.63,36496.38,2934.37,30,3,3858,1328.69,43.69,77,1,45.81,118.5,409.13,383
624.33,9542.28,671.19,14,4,10,322.61,40.57,89,1,22.4,55.4,279.32,801
2037.47,29369.12,2171.43,8,2,642,1605.81,65.61,241,1,43.94,35.48,387.72,777
1859.91,149168.88,12297.74,1,0,6,903.48,7.27,237,0,0,553.35,956.43,579
398.71,58267.5,4601.63,19,0,3457,244.16,5.03,262,1,0,595.62,154.55,687
710.67,58267.5,4601.63,19,0,10,244.16,5.03,264,1,0,263.66,466.51,633
1782.33,118047.92,9818.33,1,3,1,776.18,7.89,367,0,223.08,225.69,783.07,622
1292.56,118047.92,9818.33,1,3,1,776.18,7.89,370,0,223.08,745.45,293.3,569
5031.16,63353.68,5356.47,15,8,22,4362.52,82.63,11,1,390.45,117.01,278.19,483
4056.26,40375.78,3121.65,24,9,22,3619.68,107.58,148,1,181.32,125.59,255.26,488
4120.72,40375.78,3121.65,24,9,24,3619.68,107.58,150,1,181.32,51.13,319.72,434
1525.4,10277.33,1072.44,14,7,11,1248.05,145.72,95,1,47.9,109.89,229.45,737
1147.82,31305.26,2826.77,11,0,18,707.33,27.11,347,0,0,92.19,440.49,719
6460.41,130793.12,10957.43,20,3,10,298.13,2.74,204,1,5150,144.22,1012.28,663
1536.26,130793.12,10957.43,20,3,14,298.13,2.74,205,1,179.25,97.61,1058.88,821
1299.59,130793.12,10957.43,20,3,12,298.13,2.74,206,0,179.25,344.28,822.21,578
1202.46,20059.78,1646.65,5,4,8,841.07,50.31,373,0,46.33,63.27,315.06,568
1917.39,9387.13,866.26,13,6,8,1604.6,205.12,146,1,41.93,33.84,270.86,699
1907.15,9387.13,866.26,13,6,8,1604.6,205.12,147,1,41.93,64.07,260.62,744
1929.51,9387.13,866.26,13,6,8,1604.6,205.12,152,1,41.93,41.72,282.98,774
2557.23,35873.36,2922.45,18,3,15,2336.04,78.14,222,1,77.42,361.05,143.77,304
23200.4,35873.36,2922.45,18,3,15,2336.04,78.14,227,1,20510,130.47,354.36,454
3888.64,16322.12,1564.18,17,7,21,3531.62,259.64,49,1,74.45,89.39,282.57,379
3000.45,62932.48,5437.37,23,4,17,2412.6,46.00,93,1,139.38,205.88,448.47,512
3136.08,62932.48,5437.37,23,4,20,2412.6,46.00,97,1,139.38,60.26,584.1,341
2489.58,72322.52,5982.88,20,7,22,1872.04,31.06,198,1,407.51,230.75,210.03,330
2428.65,72322.52,5982.88,20,7,22,1872.04,31.06,204,0,407.51,321.68,149.1,744
1700.51,139538.32,11455.19,8,4,12,706.54,6.08,267,0,255.1,401.55,738.87,535
1071.22,139538.32,11455.19,8,4,10,706.54,6.08,268,0,255.1,1050.85,109.58,799
1339.2,45238.04,3937.84,7,7,8,1017.45,26.99,111,1,147.7,362.04,174.05,829
1598.82,45238.04,3937.84,7,7,6,1017.45,26.99,112,1,147.7,62.42,433.67,683
1552.69,45238.04,3937.84,7,7,9,1017.45,26.99,113,1,147.7,148.54,387.54,639
1541.28,45238.04,3937.84,7,7,9,1017.45,26.99,116,1,147.7,119.96,376.13,550
2007.54,17791.55,1587.63,34,8,17,1682.62,113.49,132,1,116.53,93.85,208.39,509
2036.89,17791.55,1587.63,34,8,15,1682.62,113.49,137,1,116.53,54.5,237.74,324
1707.22,41655.16,3743.26,5,2,19,1240.64,35.74,347,0,66.91,157.74,399.67,639
1769.79,41655.16,3743.26,5,2,19,1240.64,35.74,350,0,66.91,85.18,462.24,781
1661.07,41655.16,3743.26,5,2,21,1240.64,35.74,354,0,66.91,243.89,353.52,322
2676.58,36753.32,3164.78,32,4,12,2153.46,70.31,111,1,117.85,33.35,405.27,391
2665.82,36753.32,3164.78,32,4,13,2153.46,70.31,113,0,117.85,54.11,394.51,379
1683.5,75602.28,6185.19,1,4,16,957.62,15.20,238,0,244.89,132.64,480.99,623
1678.94,75602.28,6185.19,1,4,16,957.62,15.20,240,0,244.89,137.2,476.43,526
1339.37,41113.35,3325.34,9,2,0,716.71,20.92,350,0,189.18,135.92,433.48,746
783.65,80362.35,6908.86,16,4,11,60.04,0.90,339,0,166.41,247.27,557.2,680
813.05,80362.35,6908.86,16,4,11,60.04,0.90,342,1,166.41,187.87,586.6,627
1623.15,32107.52,2537.63,16,3,24,1295.13,48.40,90,1,70.57,205.74,257.45,758
2282.21,68056.56,5540.38,23,6,12,1681.16,29.64,115,1,324.34,202.98,276.71,430
2886.33,40580.24,3496.69,6,7,8,2371.53,70.13,137,1,184.28,124.87,330.52,719
2854.2,40580.24,3496.69,6,7,8,2371.53,70.13,142,0,184.28,117,298.39,690
1619.91,14080.81,1142.4,30,4,14,1334.8,113.75,130,1,33.34,109.13,251.77,400
1681.39,14080.81,1142.4,30,4,16,1334.8,113.75,131,1,33.34,37.65,313.25,418
1674.56,14080.81,1142.4,30,4,18,1334.8,113.75,133,0,33.34,54.48,306.42,387
1595.68,14080.81,1142.4,30,4,15,1334.8,113.75,136,1,33.34,143.36,227.54,361
4715.94,48428.1,4242.68,34,9,21,4152.95,102.91,63,1,192.08,101.28,370.91,347
4740.08,48428.1,4242.68,34,9,21,4152.95,102.91,68,0,192.08,97.14,395.05,324
2735.15,49250.73,4131.23,21,6,19,2231.92,54.38,138,1,206.5,159.89,296.73,432
1285.71,42384.08,3296.01,4,0,19,887.44,25.13,282,0,0,191.33,398.27,764
1249.85,42384.08,3296.01,4,0,19,887.44,25.13,287,0,0,257.19,362.41,491
2789.87,8086.58,823.88,22,2,22,2468.2,366.27,119,1,7.91,20.72,313.76,508
2052.23,49178.48,3972.21,9,4,17,1484.58,36.23,318,1,116.02,79.57,451.63,655
1905.6,49178.48,3972.21,9,4,16,1484.58,36.23,321,1,116.02,236.2,305,690
2248.38,9009.78,692.81,26,3,8,1941.95,258.65,163,1,21.47,32.85,284.96,340
74328.84,9009.78,692.81,26,3,7,1941.95,258.65,166,1,72080,30.93,306.89,770
2260.43,9009.78,692.81,26,3,9,1941.95,258.65,167,1,21.47,20.8,297.01,328
2245.39,9009.78,692.81,26,3,8,1941.95,258.65,168,1,21.47,55.84,281.97,322
2235.06,9009.78,692.81,26,3,6,1941.95,258.65,170,1,21.47,36.17,271.64,304
1361.65,89388.72,7695.06,6,1,8,1030.1,13.83,384,0,64.35,707.95,267.2,554
2425.16,39471.98,3166.33,21,4,10,2244.32,68.23,160,1,77.36,425.8,103.48,324
2734.91,39471.98,3166.33,21,4,10,2244.32,68.23,161,1,77.36,66.05,413.23,815
2678.26,39471.98,3166.33,21,4,10,2244.32,68.23,163,1,77.36,132.69,356.58,499
2688.69,39471.98,3166.33,21,4,7,2244.32,68.23,164,1,77.36,122.26,367.01,348
3597.76,49598.67,3860.22,20,6,23,3097.13,74.93,155,0,207.71,135.39,292.92,687
3642.8,49598.67,3860.22,20,6,23,3097.13,74.93,156,1,207.71,80.35,337.96,449
3697.82,49598.67,3860.22,20,6,23,3097.13,74.93,160,1,207.71,25.33,392.98,303
51270.82,15322.45,1536.87,26,7,18,2669.46,209.06,164,1,48371,137.35,230.36,709
2940.92,15322.45,1536.87,26,7,20,2669.46,209.06,168,1,65.97,172.23,205.49,750
3039.36,15322.45,1536.87,26,7,20,2669.46,209.06,169,1,65.97,63.78,303.93,741
4613.12,53367.48,4223.29,16,9,25,3991.34,89.75,145,1,298.78,50.55,323,792
4526.69,53367.48,4223.29,16,9,24,3991.34,89.75,146,0,298.78,136.98,236.57,670
1492.68,26217.46,1930.79,18,2,17,1135.43,51.97,321,0,27.05,105.83,330.2,825
1501.73,26217.46,1930.79,18,2,19,1135.43,51.97,326,1,27.05,76.79,339.25,718
1511.44,26217.46,1930.79,18,2,17,1135.43,51.97,328,0,27.05,107.08,348.96,724
2343.81,63501.72,5471.81,21,2,20,2056.37,38.86,120,1,105.24,539.74,182.2,396
2770.35,63501.72,5471.81,21,2,18,2056.37,38.86,121,1,105.24,83.2,608.74,485
2598.35,63501.72,5471.81,21,2,20,2056.37,38.86,123,1,105.24,265.21,436.74,422
1527.61,29097.82,2398.82,11,4,14,1079.72,44.53,203,1,82.28,51.99,365.61,797
1399.29,29097.82,2398.82,11,4,11,1079.72,44.53,208,1,82.28,190.31,237.29,422
1388.03,29097.82,2398.82,11,4,13,1079.72,44.53,209,1,82.28,221.58,226.03,772
5147.68,71809.76,6168.15,17,8,15,4439.92,74.19,76,1,297.92,179.06,409.84,494
4963.44,71809.76,6168.15,17,8,13,4439.92,74.19,78,1,297.92,353.3,225.6,457
4962.79,71809.76,6168.15,17,8,15,4439.92,74.19,82,1,297.92,373.94,224.95,493
878.77,20066.6,1732.22,10,4,9,491.75,29.41,211,1,45.61,46.2,341.41,701
762.59,20066.6,1732.22,10,4,9,491.75,29.41,212,1,45.61,192.39,225.23,737
2625.36,18137.25,1729.44,8,7,9,2234.83,147.86,73,1,72.06,32.42,318.47,675
2548.27,18137.25,1729.44,8,7,10,2234.83,147.86,75,1,72.06,119.51,241.38,495
930.6,35346.69,2757.56,12,1,3,497.75,16.90,350,0,23.59,132.9,409.26,693
906.57,35346.69,2757.56,12,1,3,497.75,16.90,356,0,23.59,116.93,385.23,827
991.61,148990.16,12474.85,3,3,7,407.6,3.28,348,0,267.37,943.48,316.64,535
1557.64,148990.16,12474.85,3,3,7,407.6,3.28,352,0,267.37,347.45,882.67,529
1195.05,148990.16,12474.85,3,3,6,407.6,3.28,353,0,267.37,740.04,520.08,767
3797.63,9735.12,695.26,16,7,19,3500.59,431.50,14,0,53.9,12.49,243.14,622
1381.5,148786.04,12492.84,4,3,12,399.45,3.22,285,0,237.41,557.23,744.64,621
853.31,58940.76,4806.73,18,6,17,348.7,7.10,172,0,231.39,266.06,273.22,658
833.11,58940.76,4806.73,18,6,17,348.7,7.10,174,1,231.39,286.26,253.02,644
942.66,58940.76,4806.73,18,6,17,348.7,7.10,176,0,231.39,136.71,362.57,610
937.38,58940.76,4806.73,18,6,17,348.7,7.10,178,1,231.39,141.99,357.29,614
1932.34,37983.12,3398.26,32,2,28,1629.11,51.47,109,0,50.44,306.6,252.79,470
2083.37,8312.5,893.71,12,4,17,1803.31,260.33,153,1,20.16,99.31,259.9,646
2129.24,8312.5,893.71,12,4,17,1803.31,260.33,155,1,20.16,43.44,305.77,816
1272.23,120348.8,10268.07,8,4,16,166,1.66,364,1,299.08,160.57,807.15,695
486.79,120348.8,10268.07,8,4,16,166,1.66,365,1,299.08,986.01,21.71,756
811,120348.8,10268.07,8,4,16,166,1.66,366,1,299.08,671.8,345.92,664
1281.32,120348.8,10268.07,8,4,16,166,1.66,370,0,299.08,151.48,816.24,650
2338.65,177887.8,14828.98,3,0,8,925.47,6.24,318,0,0,309.72,1413.18,608
1743.33,177887.8,14828.98,3,0,6,925.47,6.24,322,0,0,925.04,817.86,627
2671.93,20677,1843.08,20,5,19,2374.04,137.78,225,1,53.35,156.42,244.54,494
2750.04,20677,1843.08,20,5,22,2374.04,137.78,226,1,53.35,78.31,322.65,311
2750.62,20677,1843.08,20,5,19,2374.04,137.78,227,1,53.35,47.72,323.23,394
2655.56,20677,1843.08,20,5,19,2374.04,137.78,228,1,53.35,182.78,228.17,388
2136.56,63093.32,5212.78,7,3,13,1441.44,27.42,106,1,120.85,76.15,574.27,693
1735.12,127491.48,10731.29,1,4,9,563.31,5.30,277,0,287.16,141.32,884.65,537
1539.34,127491.48,10731.29,1,4,9,563.31,5.30,280,0,287.16,357.1,688.87,627
1250.24,40327.22,3595.6,7,0,1,1073.76,31.95,261,0,0,473.08,176.48,825
2022.59,99480.44,8532.04,17,3,5,1287.76,15.53,299,0,163.59,398.37,571.24,742
1479.97,99480.44,8532.04,17,3,8,1287.76,15.53,300,0,163.59,951,28.62,789
365.9,34773.31,2878.78,6,2,0,82.07,2.83,276,0,52.23,294.05,231.6,592
578,34773.31,2878.78,6,2,0,82.07,2.83,277,0,52.23,41.95,443.7,574
515.98,34773.31,2878.78,6,2,0,82.07,2.83,281,0,52.23,123.97,381.68,674
2525.9,17273.83,1281.49,31,5,20,2195.01,152.49,172,1,47.9,77.26,282.99,343
1326.25,101723.52,8608.96,15,3,18,526.56,6.21,219,1,134.58,311.21,665.11,846
1479.15,101723.52,8608.96,15,3,21,526.56,6.21,220,0,134.58,158.31,818.01,809
1109.33,101723.52,8608.96,15,3,18,526.56,6.21,222,1,134.58,558.13,448.19,699
1535.85,101723.52,8608.96,15,3,18,526.56,6.21,223,1,134.58,91.6,874.71,815
5267.47,15868.97,1446.41,31,9,15,4972.01,375.98,107,1,62.59,139.18,232.87,494
494.66,25506.53,2316.54,10,2,16,43.06,2.03,240,0,38.93,20.06,412.67,842
603.32,25506.53,2194.03,10,2,13,43.06,2.03,243,0,161.45,33.91,398.81,725
1590.63,18843.62,1603.3,7,5,8,1266.84,80.67,239,1,43.64,96.54,280.15,781
4511.22,31700.08,2710.67,29,8,16,4031.88,152.63,26,1,189.41,31.72,289.93,808
1547.48,85875.8,7256.32,4,2,4,651.09,9.10,278,0,110.59,69.25,785.8,466
1488.18,85875.8,7256.32,4,2,4,651.09,9.10,279,0,110.59,128.54,726.5,405
1027.05,25795.97,1932.66,10,2,17,642.22,29.88,289,1,35.93,48.44,348.9,755
1057.22,25795.97,1932.66,10,2,15,642.22,29.88,292,1,35.93,38.27,379.07,791
1121.58,33063.59,2741.3,6,7,18,788.4,28.61,212,1,143.76,220.96,189.42,847
1249.02,33063.59,2741.3,6,7,16,788.4,28.61,213,1,143.76,63.52,316.86,697
4194.88,14480.21,943.68,24,9,17,3873.09,320.97,93,1,54.59,62.58,267.2,404
1591.9,84660.74,7046.06,12,1,2,702.26,9.95,323,0,60.86,54.97,828.78,554
1562.59,84660.74,7046.06,12,1,2,702.26,9.95,326,0,60.86,84.27,799.47,618
1184,84660.74,7046.06,12,1,2,702.26,9.95,328,0,60.86,502.86,420.88,799
38656.29,23613.43,2202.79,6,3,12,428.67,21.78,327,1,37867,52.92,360.62,654
743.76,23613.43,2202.79,6,3,14,428.67,21.78,328,1,46.74,185.19,268.35,512
4765.72,15325.73,1181.14,30,5,21,4445.87,348.11,137,1,61.85,88.27,258,838
4786.82,15325.73,1181.14,30,5,21,4445.87,348.11,138,1,61.85,27.16,279.1,746
4766.62,15325.73,1181.14,30,5,21,4445.87,348.11,139,1,61.85,57.36,258.9,814
4713.84,15325.73,1181.14,30,5,21,4445.87,348.11,140,1,61.85,140.14,206.12,746
804.71,68110.83,5469.9,9,3,15,147.77,2.60,367,1,102.69,170.05,554.25,430
2466.55,16053.86,1196.82,24,5,17,2107.76,157.55,191,0,44.86,40.9,313.93,398
2451.34,16053.86,1196.82,24,5,13,2107.76,157.55,193,1,44.86,66.1,298.72,508
2363.37,16053.86,1196.82,24,5,18,2107.76,157.55,194,1,44.86,154.07,210.75,502
1034.08,169141.6,14373.13,6,1,5,242.61,1.72,269,0,102.46,915.85,689.01,718
3219.33,42870.21,3523.52,25,6,17,2757.48,77.19,68,1,122.48,150.5,339.37,845
2942.11,42870.21,3523.52,25,6,17,2757.48,77.19,69,1,122.48,457.72,62.15,729
3242.41,42870.21,3523.52,25,6,17,2757.48,77.19,72,1,122.48,137.42,362.45,701
3251.63,42870.21,3523.52,25,6,17,2757.48,77.19,73,0,122.48,108.2,371.67,717
1458.52,128189.37,10390.45,7,2,1,913.1,8.55,369,0,153.27,773.63,392.15,602
2044.32,128189.37,10390.45,7,2,3,913.1,8.55,374,0,153.27,147.82,977.95,520
405.84,58537.38,4688.12,19,4,15,259.63,5.32,275,0,105.85,612.6,40.36,571
882.01,58537.38,4688.12,19,4,12,259.63,5.32,276,0,105.85,86.43,516.53,545
791.55,58537.38,4688.12,19,4,13,259.63,5.32,277,0,105.85,186.89,426.07,574
713.2,15323540,4688.12,19,4,12,259.63,0.02,278,0,105.85,305.24,347.72,629
1132.92,24667.16,2284.6,16,3,15,722.02,35.12,235,1,49.24,67.57,361.66,633
1024.94,24667.16,2284.6,16,3,15,722.02,35.12,237,1,49.24,215.54,253.68,490
1092.18,24667.16,2284.6,16,3,15,722.02,35.12,238,1,49.24,128.3,320.92,436
634.87,9767.32,872.94,3,1,23,327.25,40.21,184,0,7.87,19.68,299.75,536
2228.14,14292.96,1096.08,23,9,21,1975.27,165.84,92,1,78.23,146.74,174.64,465
2279.2,14292.96,1096.08,23,9,19,1975.27,165.84,96,1,78.23,95.68,225.7,844
2315.4,14292.96,1096.08,23,9,21,1975.27,165.84,97,1,78.23,29.48,261.9,356
2284.94,14292.96,1096.08,23,9,21,1975.27,165.84,99,1,78.23,79.94,231.44,339
2008.22,8571.29,514.27,24,9,25,1716.56,240.32,142,1,42.83,19.77,248.83,375
2005.23,8571.29,514.27,24,9,28,1716.56,240.32,144,1,42.83,52.76,245.84,823
2009.06,8571.29,514.27,24,9,25,1716.56,240.32,145,1,42.83,0,249.67,377
2014.69,8571.29,514.27,24,9,25,1716.56,240.32,146,1,42.83,43.3,255.3,404
3422.71,20739.75,1916.31,26,8,20,3077.36,178.06,163,1,137.1,136.27,208.25,350
81351.62,20739.75,1916.31,26,8,21,3077.36,178.06,164,1,78022,52.27,252.26,413
3382.06,20739.75,1916.31,26,8,21,3077.36,178.06,169,1,137.1,176.92,167.6,326
2472.41,53181.21,4636.77,8,3,16,1942,43.82,117,1,84.02,183.26,446.39,739
2549.88,53181.21,4636.77,8,3,16,1942,43.82,119,1,84.02,95.8,523.86,805
1405.45,98962.77,8044.9,8,2,6,599.54,7.27,310,0,98.61,288.58,707.3,625
978.18,33082.87,2785.91,12,4,13,576.44,20.91,227,1,78.16,146.85,323.58,799
5111.2,10030.52,696.88,27,8,19,4812.08,575.69,147,1,52.41,60.56,246.71,792
3985.01,15823.87,1067.66,23,9,24,3703.96,280.89,116,1,87.32,105.71,193.73,775
4028.46,15823.87,1067.66,23,9,24,3703.96,280.89,119,1,87.32,72.26,237.18,672
4290.81,63149.2,5121.43,19,6,18,3656.46,69.48,75,0,233.6,117.79,400.75,788
4366.55,63149.2,5121.43,19,6,18,3656.46,69.48,80,0,233.6,42.05,476.49,848
4239.73,63149.2,5121.43,19,6,18,3656.46,69.48,81,1,233.6,218.87,349.67,794
1344.16,34680.44,2730.61,18,0,9,551.18,19.07,329,1,405.43,216.06,387.55,790
1236.08,34680.44,2730.61,18,0,11,551.18,19.07,330,0,405.43,324.14,279.47,713
786.48,23195.18,1768.93,14,5,11,458.8,23.74,195,1,53.43,119.21,274.25,849
712.03,23195.18,1768.93,14,5,11,458.8,23.74,198,1,53.43,213.66,199.8,844
858.55,23195.18,1768.93,14,5,11,458.8,23.74,199,1,53.43,17.14,346.32,709
803.83,23195.18,1768.93,14,5,12,458.8,23.74,200,1,53.43,91.86,291.6,668
835.64,23195.18,1768.93,14,5,8,458.8,23.74,201,1,53.43,40.05,323.41,785
1589.35,68375.37,5914.95,17,1,13,804.61,14.12,367,0,38.41,46.75,746.33,780
1207.33,115827.92,9459.33,17,2,8,291.71,3.02,206,0,141.92,280.31,773.7,675
1409.69,115827.92,9459.33,17,2,8,291.71,3.02,209,0,141.92,67.95,976.06,726
1505.89,12025.84,961.15,17,2,9,1188.36,118.58,331,1,18.25,18.59,299.28,661
1537.04,12025.84,961.15,17,2,10,1188.36,118.58,333,1,18.25,27.44,330.43,812
1508.23,12025.84,961.15,17,2,10,1188.36,118.58,334,1,18.25,66.25,301.62,661
1568.29,14439.41,956.28,8,0,5,1238.5,102.93,392,0,0,55.83,329.79,569
610.52,20516.18,1766.68,17,4,14,232.52,13.60,220,0,56.37,38.67,321.63,717
549.35,20516.18,1766.68,17,4,17,232.52,13.60,222,0,56.37,149.84,260.46,831
5021.69,15590.68,1298.22,26,9,17,4746.44,365.33,161,0,92.89,144.57,182.36,844
2035.17,103968.39,8612.03,6,1,10,1234.59,14.25,212,0,73.64,340.62,726.94,709
1870.74,103968.39,8612.03,6,1,9,1234.59,14.25,215,0,73.64,505.05,562.51,742
848.77,76046.25,6082.19,16,3,19,91.84,1.45,362,0,172.99,101.29,583.94,647
630.1,76046.25,6082.19,16,3,19,91.84,1.45,365,1,172.99,339.96,365.27,776
2414.47,17602.93,1176.91,29,6,17,2158.18,147.12,200,1,46.78,151.41,209.51,426
2494.51,17602.93,1176.91,29,6,17,2158.18,147.12,206,1,46.78,61.36,289.55,734
2434.95,17602.93,1176.91,29,6,17,2158.18,147.12,207,1,46.78,130.92,229.99,420
1821.09,20377.7,1659.14,15,2,17,1490.65,87.78,130,1,29.92,115.47,300.52,409
1811.4,20377.7,1659.14,15,2,18,1490.65,87.78,131,1,29.92,115.16,290.83,475
13801.73,20377.7,1659.14,15,2,17,1490.65,87.78,134,1,11993,67.92,318.08,400
2797.93,35064.5,2949.04,33,7,20,2543.44,87.04,106,1,132.26,330.42,122.23,494
3633.46,49441.62,4419.14,15,5,17,3119.6,75.72,8,1,176.48,178.05,337.38,394
682.99,73842.33,5927.53,5,3,18,344.09,5.59,225,0,112.58,533.85,226.32,792
962.37,73842.33,5927.53,5,3,15,344.09,5.59,227,0,112.58,224.47,505.7,647
976.39,73842.33,5927.53,5,3,18,344.09,5.59,230,0,112.58,210.45,519.72,631
2766.67,20081.52,1454.46,22,2,17,2468.95,147.54,215,1,30.87,137.72,266.85,410
1315.35,110721.66,9259.81,15,4,12,281.42,3.05,316,0,209.25,132.06,824.68,675
1145.09,110721.66,9259.81,15,4,12,281.42,3.05,317,0,209.25,312.31,654.42,607
506.06,35724.37,3149.03,7,4,12,18.29,0.61,298,0,86.14,77.14,401.63,335
499.79,35724.37,3149.03,7,4,10,18.29,0.61,302,0,86.14,73.41,395.36,820
3243.25,14851.27,1462.61,30,6,25,2867.66,231.71,136,0,43.23,50.67,332.36,371
4730.26,14276.64,1397.72,18,7,18,4400.77,369.90,155,1,51.7,90.29,277.79,486
4676.61,14276.64,1397.72,18,7,18,4400.77,369.90,156,1,51.7,153.93,224.14,334
4733.91,14276.64,1397.72,18,7,18,4400.77,369.90,157,0,51.7,96.63,281.44,484
1903.57,56643.04,4479.25,8,2,9,1254.91,26.59,293,0,76.55,49.27,572.11,704
1833.55,56643.04,4479.25,8,2,12,1254.91,26.59,297,0,76.55,109.28,502.09,525
1761.49,64249.44,5428.12,24,7,13,1450.31,27.09,164,1,229.48,521.64,81.7,343
63136.39,64249.44,5428.12,24,7,16,1450.31,27.09,165,1,61334,211.25,352.08,307
2183.35,64249.44,5428.12,24,7,10,1450.31,27.09,169,1,229.48,49.77,503.56,469
1817.47,64249.44,5428.12,24,7,13,1450.31,27.09,171,1,229.48,455.65,137.68,474
2085.76,15680,1571.67,16,4,16,1823.34,139.54,211,0,27.05,184.74,235.37,422
31142.24,15680,1571.67,16,4,16,1823.34,139.54,213,1,28988,89.21,330.9,519
2186.38,15680,1571.67,16,4,18,1823.34,139.54,218,1,27.05,54.12,335.99,646
2640.96,158757.88,13111.82,4,4,0,1317.48,9.96,268,0,324.83,247.7,998.65,338
2621.22,158757.88,13111.82,4,4,0,1317.48,9.96,272,0,324.83,247.44,978.91,428
2524.5,158757.88,13111.82,4,4,0,1317.48,9.96,273,0,324.83,384.16,882.19,780
1949.26,76113.09,6281.76,16,0,17,1127.46,17.78,325,1,0,46.38,821.8,711
1781.6,76113.09,6281.76,16,0,16,1127.46,17.78,330,0,0,224.04,654.14,815
2495.76,9786.86,951.57,18,2,17,2149.9,263.61,78,1,11.56,39.3,334.3,682
428.96,17028.31,1663.03,4,0,1,43.02,3.03,367,0,0,40.37,385.94,562
419.92,17028.31,1663.03,4,0,3,43.02,3.03,369,0,0,69.41,376.9,648
1807.41,33835.16,2807.6,13,3,19,1353.86,48.02,329,0,68.07,117.21,385.48,837
25422.8,33835.16,2807.6,13,3,19,1353.86,48.02,330,0,23659,52.74,409.94,794
1620.79,33835.16,2807.6,13,3,19,1353.86,48.02,333,0,68.07,303.82,198.86,759
5242.2,15968.14,1380.68,21,9,19,4912.8,369.20,142,1,78,58.67,251.4,485
5202.27,15968.14,1380.68,21,9,21,4912.8,369.20,148,1,78,128.6,211.47,335
948.37,74499.6,5910.3,7,4,17,235.27,3.79,239,1,171.15,117.93,541.95,665
2235.6,170131.24,14153.6,4,0,14,798.78,5.63,368,0,0,228.54,1436.82,625
1455.87,170131.24,14153.6,4,0,11,798.78,5.63,369,0,0,1038.27,657.09,744
1979.9,15359.33,1557.94,13,6,10,1631.85,127.49,176,1,54.01,97.74,294.04,790
2095.42,15359.33,1484.36,13,6,10,1631.85,127.49,180,1,127.59,45.81,335.98,795
1707.95,16154.25,1273.19,29,5,20,1426.76,105.99,191,1,33.77,116.13,247.42,483
1765.42,16154.25,1273.19,29,5,20,1426.76,105.99,194,1,33.77,68.66,304.89,302
1740.54,16154.25,1273.19,29,5,20,1426.76,105.99,197,1,33.77,93.54,280.01,504
3789.31,28050.2,2443.52,33,7,19,3534.02,151.19,97,1,143.79,279.06,111.5,446
3763.04,28050.2,2443.52,33,7,19,3534.02,151.19,98,0,143.79,305.33,85.23,504
3976.18,28050.2,2443.52,33,7,19,3534.02,151.19,102,1,143.79,42.19,298.37,644
3974.08,28050.2,2443.52,33,7,19,3534.02,151.19,103,1,143.79,94.29,296.27,710
2710.55,8879.57,557.96,24,7,23,2424.49,327.65,76,1,27.98,59.74,258.08,421
2726.15,8879.57,557.96,24,7,22,2424.49,327.65,77,1,27.98,44.14,273.68,776
2725.06,8879.57,557.96,24,7,1063,2424.49,327.65,78,1,27.98,35.23,272.59,795
2725.43,8879.57,557.96,24,7,20,2424.49,327.65,80,1,27.98,44.86,272.96,511
4631.94,51200.46,4108.71,22,5,27,4126.76,96.72,155,1,151.5,175.69,353.68,509
1385.5,85720.48,6999.37,16,4,15,707.08,9.90,206,1,171.48,281.52,506.94,322
2592.43,28315.74,2427.65,23,3,23,2207.45,93.55,227,1,56.35,127.78,328.63,700
